source_id,url,retrieved_at,wayback_url,status
a0542be5,https://naturalscenesdataset.org/,2026-05-31,,unverified
f06dcf04,https://doi.org/10.1038/s41593-021-00962-x,2026-05-31,,unverified
78bfef6f,https://openneuro.org/datasets/ds004192,2026-05-31,,unverified
a51b93af,https://doi.org/10.7554/eLife.82580,2026-05-31,,unverified
a2f1a9c0,https://openneuro.org/datasets/ds004496,2026-05-31,,unverified
859e0ff7,https://doi.org/10.1038/s41597-023-02471-x,2026-05-31,,unverified
076f5dbd,https://bold5000-dataset.github.io/website/,2026-05-31,,ok
e2696260,https://doi.org/10.1038/s41597-019-0052-3,2026-05-31,,ok
07e54cf1,https://openneuro.org/datasets/ds001246,2026-05-31,,unverified
4c22234f,https://doi.org/10.1038/ncomms15037,2026-05-31,,unverified
d0892467,https://openneuro.org/datasets/ds001506,2026-05-31,,unverified
57e5102b,https://doi.org/10.1371/journal.pcbi.1006633,2026-05-31,,unverified
0b8ce132,https://crcns.org/data-sets/vc/vim-1,2026-05-31,,unverified
fda24db4,https://openneuro.org/datasets/ds000105,2026-05-31,,unverified
e8eac60d,https://doi.org/10.1126/science.1063736,2026-05-31,,unverified
3e264ec9,https://github.com/courtois-neuromod/cneuromod,2026-05-31,,unverified
bce15728,https://doi.org/10.1038/s41597-026-06591-y,2026-05-31,,unverified
62bd8a9a,https://openneuro.org/datasets/ds005165,2026-05-31,,unverified
3ee70ca4,https://doi.org/10.1038/s41467-024-50310-3,2026-05-31,,unverified
67bf14ad,https://www.nature.com/articles/s41597-024-04088-0,2026-05-31,,unverified
07ad33b9,https://doi.org/10.1038/s41597-024-04088-0,2026-05-31,,unverified
78b993e0,https://crcns.org/data-sets/vc/vim-2,2026-05-31,,unverified
4f190835,https://crcns.org/data-sets/vc/vim-3,2026-05-31,,unverified
15e9f63f,https://www.studyforrest.org/,2026-05-31,,unverified
44e81d48,https://doi.org/10.18112/openneuro.ds000113.v1.3.0,2026-05-31,,unverified
3beec266,https://www.naturalistic-neuroimaging-database.org/,2026-05-31,,unverified
7fd0de2a,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12373947/,2026-05-31,,unverified
569cd405,https://www.nature.com/articles/s41597-023-02458-8,2026-05-31,,unverified
4216f39c,https://doi.org/10.1038/s41597-023-02458-8,2026-05-31,,unverified
19dfbd5d,https://openneuro.org/datasets/ds003688,2026-05-31,,unverified
69481372,https://openneuro.org/datasets/ds003720,2026-05-31,,unverified
d127308e,https://openneuro.org/datasets/ds002345,2026-05-31,,unverified
cc2e38f3,https://doi.org/10.1038/s41597-021-01033-3,2026-05-31,,unverified
cc35acde,https://openneuro.org/datasets/ds003020,2026-05-31,,unverified
6cc81a45,https://doi.org/10.1038/s41597-023-02437-z,2026-05-31,,unverified
56666d6d,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9424229/,2026-05-31,,unverified
442403de,https://doi.org/10.1038/s41597-022-01625-7,2026-05-31,,unverified
7385e839,https://openneuro.org/datasets/ds004872,2026-05-31,,unverified
e1ebe445,https://doi.org/10.1038/s41597-025-04803-5,2026-05-31,,unverified
26aa76eb,https://openneuro.org/datasets/ds005700,2026-05-31,,unverified
3150e67e,https://openneuro.org/datasets/ds001734,2026-05-31,,unverified
1cb077d8,https://doi.org/10.1038/s41597-019-0113-7,2026-05-31,,unverified
a0f564fc,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10834522/,2026-05-31,,unverified
79d7936d,https://www.nature.com/articles/s41597-023-02286-w,2026-05-31,,unverified
2b079c1c,https://doi.org/10.1038/s41597-023-02286-w,2026-05-31,,unverified
e7d9f229,https://web.archive.org/web/20200214144644/https://www.biorxiv.org/content/10.1101/862375v1,2026-05-31,,unverified
d5299ef4,https://www.humanconnectome.org/study/hcp-young-adult,2026-05-31,,unverified
256dfaec,https://doi.org/10.1016/j.neuroimage.2013.05.041,2026-05-31,,unverified
1bdc535f,https://www.humanconnectome.org/study/human-connectome-project-for-early-psychosis,2026-05-31,,unverified
c6618692,https://openfmri.org/dataset/ds000030/,2026-05-31,,unverified
8c5f9d19,https://doi.org/10.1038/sdata.2016.110,2026-05-31,,unverified
6a96902d,https://openneuro.org/datasets/ds002785,2026-05-31,,unverified
7737a1ef,https://doi.org/10.1038/s41597-021-00870-6,2026-05-31,,unverified
3615727b,https://openneuro.org/datasets/ds002790,2026-05-31,,unverified
9274eb10,https://openneuro.org/datasets/ds003097,2026-05-31,,unverified
8694ef6d,http://fcon_1000.projects.nitrc.org/indi/abide/,2026-05-31,,unverified
0277ff65,http://fcon_1000.projects.nitrc.org/indi/abide/abide_II.html,2026-05-31,,unverified
f6d10cdc,http://fcon_1000.projects.nitrc.org/indi/adhd200/,2026-05-31,,unverified
e470e676,http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/,2026-05-31,,unverified
0f115ecc,https://doi.org/10.1038/sdata.2017.181,2026-05-31,,unverified
e7c38208,https://openneuro.org/datasets/ds000228,2026-05-31,,unverified
06834a21,https://nda.nih.gov/abcd,2026-05-31,,unverified
72032285,https://doi.org/10.1016/j.dcn.2018.04.004,2026-05-31,,unverified
ce13ea14,https://coins.trendscenter.org/,2026-05-31,,unverified
63c93aa6,https://www.nitrc.org/projects/fbirn/,2026-05-31,,unverified
7536aba3,https://osf.io/mn2dg/,2026-05-31,,unverified
01eaeef8,https://nda.nih.gov/edit_collection.html?id=2199,2026-05-31,,unverified
87982745,https://web.archive.org/web/20220624050049/https://www.fil.ion.ucl.ac.uk/Ploras/,2026-05-31,,unverified
d6aa093e,http://fcon_1000.projects.nitrc.org/indi/retro/atlas.html,2026-05-31,,unverified
18610822,https://doi.org/10.1038/s41597-022-01401-7,2026-05-31,,unverified
c08ef3c2,https://www.nature.com/articles/s41597-025-05982-x,2026-05-31,,unverified
ce813381,https://doi.org/10.1038/s41597-025-05982-x,2026-05-31,,unverified
c35198d3,https://openfmri.org/dataset/ds000140/,2026-05-31,,unverified
ba895f02,https://www.niaaa.nih.gov/research/major-initiatives/national-consortium-alcohol-and-neurodevelopment-adolescence,2026-05-31,,unverified
5d6af40c,https://openpreventad.loris.ca/,2026-05-31,,unverified
8c295e35,https://openneuro.org/,2026-05-31,,unverified
c9a40de5,https://doi.org/10.1038/s41597-021-00921-y,2026-05-31,,unverified
7f9ac40f,https://algonautsproject.com/2025/,2026-05-31,,unverified
bee3aab1,http://algonauts.csail.mit.edu/,2026-05-31,,unverified
f74090da,http://algonauts.csail.mit.edu/2021/index.html,2026-05-31,,unverified
d47a48c1,https://huggingface.co/facebook/tribev2,2026-05-31,,unverified
50b6d8f6,https://openneuro.org/datasets/ds000117,2026-05-31,,unverified
3521d656,https://doi.org/10.1038/sdata.2015.1,2026-05-31,,unverified
6a865d33,https://openneuro.org/datasets/ds004212,2026-05-31,,unverified
937f805a,https://doi.org/10.1038/s41597-023-02068-4,2026-05-31,,unverified
0ab8648c,https://osf.io/crn32/,2026-05-31,,unverified
462cd642,https://doi.org/10.1038/s41597-023-01976-4,2026-05-31,,unverified
cae8bd8b,https://www.humanconnectome.org/study/hcp-young-adult/document/meg-data-documentation,2026-05-31,,unverified
c122decb,https://openneuro.org/datasets/ds002338,2026-05-31,,unverified
3e676e70,https://doi.org/10.1038/s41597-020-0498-3,2026-05-31,,unverified
263ae899,https://www.ccdataset.com/download,2026-05-31,,unverified
35122a32,https://zenodo.org/records/7523691,2026-05-31,,unverified
e51b2f92,https://doi.org/10.1038/s41597-023-02181-4,2026-05-31,,unverified
297615fa,https://fastmri.med.nyu.edu/,2026-05-31,,unverified
de5c11c4,https://doi.org/10.1148/ryai.2020190007,2026-05-31,,unverified
